,,,,,,,Horiz,Disp,Blank,,Retrace,,Vert,Disp,Blank,,Retrace,,Double,,BPP (Vesa Mode),,,,,,
Horiz,Vert,Hz,PCLK,CC,HS,VS,total,End,start,width,start,width,total,End,start,width,start,width,line,pix,1,2,4,8,16,24,32
320,200,70,25.940,8,-,+,104,80,80,24,84,8,445,400,400,45,401,3,Y,Y,v,v,v,v,e,e,e
320,200,85,31.500,8,-,+,104,80,80,24,84,8,445,400,400,45,401,3,Y,Y,v,v,v,v,e,e,e
320,240,60,25.175,8,-,-,104,80,80,24,84,8,509,480,480,29,481,3,Y,Y,v,v,v,v,e,e,e
320,240,72,31.500,8,-,-,104,80,80,24,84,8,509,480,480,29,481,3,Y,Y,v,v,v,v,e,e,e
320,240,85,36.000,8,-,-,104,80,80,24,84,8,509,480,480,29,481,3,Y,Y,v,v,v,v,e,e,e
400,300,60,40.000,8,+,+,132,100,100,32,104,16,628,600,600,28,601,4,Y,Y,,,,v,e,e,e
400,300,72,50.000,8,+,+,130,100,100,30,104,15,666,600,600,66,637,6,Y,Y,,,,v,e,e,e
400,300,85,56.250,8,+,+,130,100,100,30,104,15,666,600,600,66,637,6,Y,Y,,,,v,e,e,e
512,384,60,65.000,8,-,-,168,128,128,40,131,17,806,768,768,38,772,6,Y,Y,,,,v,L,L,L
512,384,72,77.143,8,-,-,166,128,128,38,131,17,806,768,768,38,771,6,Y,Y,,,,v,L,L,L
512,384,75,78.750,8,+,+,164,128,128,36,130,12,800,768,768,32,769,3,Y,Y,,,,v,L,L,L
512,384,85,94.500,8,+,+,172,128,128,44,134,12,808,768,768,40,769,3,Y,Y,,,,v,L,L,L
640,350,85,31.500,8,+,-,104,80,80,24,84,8,445,350,350,95,382,3,N,N,v,v,v,b,e,e,e
640,400,70,25.940,8,-,+,104,80,80,24,84,8,445,400,400,45,401,3,N,N,v,v,v,b,e,e,e
640,400,85,31.500,8,-,+,104,80,80,24,84,8,445,400,400,45,401,3,N,N,v,v,v,b,e,e,e
640,480,60,25.175,8,-,-,100,80,80,20,82,12,525,480,480,45,490,2,N,N,,,12v,101b,111e,112e,e
640,480,72,31.500,8,-,-,104,80,80,24,86,5,520,480,480,40,489,3,N,N,,,12v,101b,111e,112e,e
640,480,75,31.500,8,-,-,105,80,80,25,81,8,500,480,480,20,481,3,N,N,,,12v,101b,111e,112e,e
640,480,85,36.000,8,-,-,104,80,80,24,86,8,509,480,480,29,481,3,N,N,,,v,b,e,e,e
640,480,100,42.350,8,-,-,104,80,80,24,86,8,509,480,480,29,481,3,N,N,,,v,b,e,e,e
640,480,120,50.820,8,-,-,104,80,80,24,86,8,509,480,480,29,481,3,N,N,,,v,b,e,e,e
720,400,72,30.060,8,-,+,117,90,90,27,94,9,446,400,400,46,401,3,N,N,v,v,v,e,e,e,e
720,400,85,35.500,8,-,+,117,90,90,27,94,9,446,400,400,46,401,3,N,N,v,v,v,e,e,e,e
720,480,60,30.050,8,-,+,117,90,90,27,94,9,535,480,480,55,481,3,N,N,v,v,v,e,e,e,e
720,480,72,36.055,8,-,+,117,90,90,27,94,9,535,480,480,55,481,3,N,N,v,v,v,e,e,e,e
720,576,72,43.266,8,-,+,117,90,90,27,94,9,642,576,576,66,577,3,N,N,v,v,v,e,e,e,e
720,576,100,60.091,8,-,+,117,90,90,27,94,9,642,576,576,66,577,3,N,N,v,v,v,e,e,e,e
800,600,56,36.000,8,+,+,128,100,100,28,105,16,625,600,600,25,601,2,N,N,,,102v,103b,114e,115e,e
800,600,60,40.000,8,+,+,132,100,100,32,104,16,628,600,600,28,601,4,N,N,,,102v,103b,114e,115e,e
800,600,72,50.000,8,+,+,130,100,100,30,104,15,666,600,600,66,637,6,N,N,,,102v,103b,114e,115e,e
800,600,75,49.500,8,+,+,132,100,100,32,106,10,625,600,600,25,601,3,N,N,,,v,e,e,e,e
800,600,85,56.250,8,+,+,131,100,100,31,102,8,631,600,600,31,601,3,N,N,,,v,e,e,e,e
800,600,100,66.176,8,+,+,131,100,100,31,102,8,631,600,600,31,601,3,N,N,,,v,e,e,e,e
800,600,120,79.400,8,+,+,131,100,100,31,102,8,631,600,600,31,601,3,N,N,,,v,e,e,e,e
1152,864,60,81.000,8,+,+,185,144,144,41,148,12,912,864,864,48,865,3,N,N,,,,e,e,e,e
1152,864,75,108.000,8,+,+,200,144,144,56,152,16,900,864,864,36,865,3,N,N,,,,e,e,e,e
1152,864,85,121.500,8,+,+,197,144,144,53,152,16,907,864,864,43,865,3,N,N,,,,e,e,e,e
1152,864,100,144.000,8,+,+,200,144,144,56,152,15,900,864,864,36,865,3,N,N,,,,e,e,e,e
1024,768,60,65.000,8,-,-,168,128,128,40,131,17,806,768,768,38,772,6,N,N,,,104,105e,117e,118e,e
1024,768,70,75.000,8,-,-,166,128,128,38,131,17,806,768,768,38,771,6,N,N,,,104,105e,117e,118e,e
1024,768,72,77.143,8,-,-,166,128,128,38,131,17,806,768,768,38,771,6,N,N,,,104,105e,117e,118e,e
1024,768,75,78.750,8,+,+,164,128,128,36,130,12,800,768,768,32,769,3,N,N,,,104,105e,117e,118e,e
1024,768,85,94.500,8,+,+,172,128,128,44,134,12,808,768,768,40,769,3,N,N,,,,e,e,e,e
1024,768,100,111.176,8,+,+,172,128,128,44,134,12,808,768,768,40,769,3,N,N,,,,e,e,e,e
1024,768,120,133.410,8,+,+,172,128,128,44,134,12,808,768,768,40,769,3,N,N,,,,e,e,e,e
1280,960,60,108.000,8,+,+,225,160,160,65,172,14,1000,960,960,40,961,3,N,N,,,,e,e,e,e
1280,960,75,126.000,8,+,+,210,160,160,50,164,18,1000,960,960,40,961,3,N,N,,,,e,e,e,e
1280,960,85,148.500,8,+,+,216,160,160,56,168,20,1011,960,960,51,961,3,N,N,,,,e,e,e,e
1280,1024,60,108.000,8,+,+,211,160,160,51,166,14,1066,1024,1024,42,1025,3,N,N,,,106,107e,11ae,11be,e
1280,1024,75,135.000,8,+,+,211,160,160,51,162,18,1066,1024,1024,42,1025,3,N,N,,,106,107e,11ae,11be,e
1280,1024,85,157.500,8,+,+,216,160,160,56,168,20,1072,1024,1024,48,1025,3,N,N,,,,e,e,e,e
1280,1024,100,185.294,8,+,+,216,160,160,56,168,20,1072,1024,1024,48,1025,3,N,N,,,,e,e,e,e
1600,1200,60,162.000,8,+,+,270,200,200,70,208,24,1250,1200,1200,50,1201,3,N,N,,,,e,e,e,e
1600,1200,65,175.500,8,+,+,270,200,200,70,208,24,1250,1200,1200,50,1201,3,N,N,,,,e,e,e,e
1600,1200,70,189.000,8,+,+,270,200,200,70,208,24,1250,1200,1200,50,1201,3,N,N,,,,e,e,e,e
1600,1200,75,202.500,8,+,+,270,200,200,70,208,24,1250,1200,1200,50,1201,3,N,N,,,,e,e,e,e
1600,1200,80,216.000,8,+,+,270,200,200,70,208,24,1250,1200,1200,50,1201,3,N,N,,,,e,e,e,e
1600,1200,85,220.000,8,+,+,270,200,200,70,208,24,1250,1200,1200,50,1201,3,N,N,,,,e,e,e,e
1792,1344,60,197.450,8,+,+,294,224,224,70,226,28,1398,1344,1344,54,1347,6,N,N,,,,e,e,e,e
1792,1344,72,236.940,8,+,+,294,224,224,70,230,24,1398,1344,1344,54,1347,6,N,N,,,,e,e,e,e
1856,1392,60,209.780,8,+,+,302,232,232,70,248,15,1446,1392,1392,54,1395,6,N,N,,,,e,e,e,e
1920,1440,60,234.000,8,+,+,325,240,240,85,244,26,1500,1440,1440,60,1441,3,N,N,,,,e,e,e,e

,,,,,,,,,,,,,,,,,,,,,,v=vga
,,,,,,,,,,,,,,,,,,,,,,e=Extended
